fire_id,base_fire_id,fire_height_type,anchor_type,sample_id,building_id,cell_id,x_local,y_local,z_local,building_height_m,fds_hrr_kw,facade_direction,shopfront_type_H0,H0_opening_type,H0_opening_count,H0_opening_width_m,H0_opening_height_m,H1_window_count,H1_window_width_m,H1_window_height_m,H2_window_count,H2_window_width_m,H2_window_height_m,has_balcony_or_signboard,opening_confidence,room_width_m,room_depth_m,room_height_m,vent_notes,notes
FDS_H0_01,FDS_H0_01,H0_ground_shopfront,A_high_vlm_shopfront,RS_00714,1108239425,1108239425_G0003,-361.10699999996,-140.777,1.8,4.0,1500,unknown,unknown,default_shopfront,1,2.0,2.4,,,,,,,0,0.6,5.0,5.0,3.0,,
FDS_H0_02,FDS_H0_02,H0_ground_shopfront,A_high_vlm_shopfront,RS_00539,1108239659,1108239659_G0002,-271.10699999995995,-185.777,1.8,20.2,1500,unknown,unknown,default_shopfront,1,2.0,2.4,,,,,,,0,0.6,5.0,5.0,3.0,,
FDS_H0_02_H1,FDS_H0_02,H1_low_floor_window,A_high_vlm_shopfront,RS_00539,1108239659,1108239659_G0002,-271.10699999995995,-185.777,8.0,20.2,1500,unknown,,,,,,2,1.0,1.2,,,,0,0.6,4.0,4.0,3.0,,
FDS_H0_02_H2,FDS_H0_02,H2_mid_high_floor_window,A_high_vlm_shopfront,RS_00539,1108239659,1108239659_G0002,-271.10699999995995,-185.777,18.2,20.2,1500,unknown,,,,,,,,,2,1.0,1.2,0,0.6,4.0,4.0,3.0,,
FDS_H0_03,FDS_H0_03,H0_ground_shopfront,A_high_vlm_shopfront,RS_00634,1810158715,1810158715_G0041,-301.10699999995995,-160.777,1.8,4.0,1500,unknown,unknown,default_shopfront,1,2.0,2.4,,,,,,,0,0.6,5.0,5.0,3.0,,
FDS_H0_04,FDS_H0_04,H0_ground_shopfront,B_stagnant_narrow_canyon,RS_01826,1108246663,1108246663_G0021,-406.10699999996,149.223,1.8,5.1,1500,unknown,unknown,default_shopfront,1,2.0,2.4,,,,,,,0,0.6,5.0,5.0,3.0,,
FDS_H0_05,FDS_H0_05,H0_ground_shopfront,B_stagnant_narrow_canyon,RS_00721,1108239491,1108239491_G0001,-161.10699999995995,-145.777,1.8,25.5,1500,unknown,unknown,default_shopfront,1,2.0,2.4,,,,,,,0,0.6,5.0,5.0,3.0,,
FDS_H0_05_H1,FDS_H0_05,H1_low_floor_window,B_stagnant_narrow_canyon,RS_00721,1108239491,1108239491_G0001,-161.10699999995995,-145.777,8.0,25.5,1500,unknown,,,,,,2,1.0,1.2,,,,0,0.6,4.0,4.0,3.0,,
FDS_H0_05_H2,FDS_H0_05,H2_mid_high_floor_window,B_stagnant_narrow_canyon,RS_00721,1108239491,1108239491_G0001,-161.10699999995995,-145.777,23.5,25.5,1500,unknown,,,,,,,,,2,1.0,1.2,0,0.6,4.0,4.0,3.0,,
FDS_H0_06,FDS_H0_06,H0_ground_shopfront,B_stagnant_narrow_canyon,RS_01759,1109261488,1109261488_G0002,-431.10699999996,124.223,1.8,3.6,1500,unknown,unknown,default_shopfront,1,2.0,2.4,,,,,,,0,0.6,5.0,5.0,3.0,,
FDS_H0_07,FDS_H0_07,H0_ground_shopfront,C_ground_access_block_proxy,RS_01561,1108238365,1108238365_G0001,-376.10699999996,84.22299999999814,1.8,19.8,1500,unknown,unknown,default_shopfront,1,2.0,2.4,,,,,,,0,0.6,5.0,5.0,3.0,,
FDS_H0_07_H1,FDS_H0_07,H1_low_floor_window,C_ground_access_block_proxy,RS_01561,1108238365,1108238365_G0001,-376.10699999996,84.22299999999814,8.0,19.8,1500,unknown,,,,,,2,1.0,1.2,,,,0,0.6,4.0,4.0,3.0,,
FDS_H0_07_H2,FDS_H0_07,H2_mid_high_floor_window,C_ground_access_block_proxy,RS_01561,1108238365,1108238365_G0001,-376.10699999996,84.22299999999814,17.8,19.8,1500,unknown,,,,,,,,,2,1.0,1.2,0,0.6,4.0,4.0,3.0,,
FDS_H0_08,FDS_H0_08,H0_ground_shopfront,C_ground_access_block_proxy,RS_00964,1108239119,1108239119_G0003,-456.10699999996,-65.77700000000186,1.8,53.6,1500,unknown,unknown,default_shopfront,1,2.0,2.4,,,,,,,0,0.6,5.0,5.0,3.0,,
FDS_H0_09,FDS_H0_09,H0_ground_shopfront,C_ground_access_block_proxy,RS_00510,1108246843,1108246843_G0003,-146.10699999995995,-210.777,1.8,3.6,1500,unknown,unknown,default_shopfront,1,2.0,2.4,,,,,,,0,0.6,5.0,5.0,3.0,,
FDS_H0_10,FDS_H0_10,H0_ground_shopfront,D_air_roof_sensitivity,RS_00745,1108239402,1108239402_G0004,-96.10699999995995,-130.777,1.8,50.7,1500,unknown,unknown,default_shopfront,1,2.0,2.4,,,,,,,0,0.6,5.0,5.0,3.0,,
FDS_H0_10_H1,FDS_H0_10,H1_low_floor_window,D_air_roof_sensitivity,RS_00745,1108239402,1108239402_G0004,-96.10699999995995,-130.777,8.0,50.7,1500,unknown,,,,,,2,1.0,1.2,,,,0,0.6,4.0,4.0,3.0,,
FDS_H0_10_H2,FDS_H0_10,H2_mid_high_floor_window,D_air_roof_sensitivity,RS_00745,1108239402,1108239402_G0004,-96.10699999995995,-130.777,25.0,50.7,1500,unknown,,,,,,,,,2,1.0,1.2,0,0.6,4.0,4.0,3.0,,
FDS_H0_11,FDS_H0_11,H0_ground_shopfront,D_air_roof_sensitivity,RS_02237,1108237587,1108237587_G0019,-261.10699999995995,249.223,1.8,30.3,1500,unknown,unknown,default_shopfront,1,2.0,2.4,,,,,,,0,0.6,5.0,5.0,3.0,,
FDS_H0_12,FDS_H0_12,H0_ground_shopfront,D_air_roof_sensitivity,RS_00999,1108239116,1108239116_G0002,-176.10699999995995,-60.77700000000186,1.8,24.5,1500,unknown,unknown,default_shopfront,1,2.0,2.4,,,,,,,0,0.6,5.0,5.0,3.0,,
